id,name,address,city,county,latitude,longitude,fuel_types,services,program,phone
103,Tsalka,52 Merab Kostava St.,Tsalka,GE,41.600212,44.092686,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
41,Digomi 1,Agmashenebeli  Ave 14th Kilometer,Tbilisi,Tbilisi,41.800816,44.771393,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
42,Didube 1,Grigol Robakidze avenue,Tbilisi,Tbilisi,41.754013,44.776245,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
43,Piketi,Cross of O. Dgebuadze st. and Khvamli st.,Tbilisi,Tbilisi,41.714939,44.789398,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
45,Lilo 1,Kakheti highway and the base of Tsekavshiri,Tbilisi,Tbilisi,41.692822,44.962284,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
46,Dighomi 2,Village Dighomi,Tbilisi,Tbilisi,41.77969,44.768345,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
47,Ksani,Ksani and Peikrebi str,Tbilisi,Tbilisi,41.769363,44.78368,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
109,Poti 4,Larnaca Street,Poti,GE,42.162357,41.682655,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
110,Batumi 8,"12 Agmashenebeli St.,Batumi",Batumi,GE,41.629154,41.614735,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
49,Isani 1,Ketevan Tsamebuli avenue (isani market south entrance),Tbilisi,Tbilisi,41.686066,44.847294,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
50,Metekhi,300 Aragveli street,Tbilisi,Tbilisi,41.68792,44.822239,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
51,Audi,19th kilometer davit agmashenebeli alley,Tbilisi,Tbilisi,41.811115,44.771259,"Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Water, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
111,Rustavi 3,"N89/N91 Mshenebelta Street, Rustavi.",Rustavi,GE,41.526798,45.019859,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
53,Sanzona 2,64  Davit Guramishvili avenue,Tbilisi,Tbilisi,41.769318,44.791973,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
96,Kutaisi 5,"Chavchavadze Ave. # 1a, Kutaisi",Kutaisi,Kutaisi,42.247944,42.698994,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
55,Natsionali,9th kilometer David Aghmashenebeli alley,Tbilisi,Tbilisi,41.769737,44.769455,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons, Quick Top-up Machine",Sunday - Monday - 24 Hours,0322 24 04 44
56,Head Office,"12, Aleksidze Merab Str.",Tbilisi,Tbilisi,41.716503,44.785427,,,Sunday - Monday - 24 Hours,0322 24 04 44
57,Vazi,"Military settlement, gldani",Tbilisi,Tbilisi,41.784946,44.770061,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
104,Napareuli,"თელავის რაიონი, სოფ. ნაფარეული",Napareuli,GE,42.039253,45.521603,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
59,Varketili,Javakheti str. Near of Varketili market area,Tbilisi,Tbilisi,41.698547,44.869671,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
112,EastPoint,Near EastPoint ,Tbilisi,GE,41.686821,44.892673,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
61,Samgori 2,George Bush avenue,Tbilisi,Tbilisi,41.688553,44.845631,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons, Quick Top-up Machine",Sunday - Monday - 24 Hours,0322 24 04 44
113,Peikrebi 2,"Qsani street, near bus station.",Tbilisi,GE,41.758541,44.782536,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
99,Kutaisi 6,Village Partskanakanevi,Kutaisi,Kutaisi,42.209904,42.552982,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons, Quick Top-up Machine",Sunday - Monday - 24 Hours,0322 24 04 44
98,Gori 3,"Tbilisi Hwy #1, Gori",Gori,Gori,42.002121,44.123287,"Efix Euro Premium 95, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
66,sachkhere,Village Chikha,Sachkhere,Imereti,42.332603,43.426422,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
68,Zugdidi 1,"Sokhumi str, 69",Zugdidi,Zugdidi,42.517986,41.879349,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
69,Ozurgeti,"David Aghmashenebeli str, 121",Ozurgeti,Ozurgeti,41.923107,42.01976,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
70,Poti 1,Samegrelo sq,poti,poti,42.147297,41.68116,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
100,Natakhtari ,ნატახტარი,Natakhtari,GE,41.924625,44.730469,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
101,Khashuri,"Khashuri Municipality, Village Osiauri",Khashuri,GE,41.995953,43.640938,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
72,Batumi 1,"Khakhule str, 8",batumi,Batumi,41.620224,41.622627,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons, Quick Top-up Machine",Sunday - Monday - 24 Hours,0322 24 04 44
92,Salosi,#6 Beri Gabriel Salosi Square,Tbilisi,Tbilisi,41.676979,44.838234,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
93,Vakhushti,#18 Heydar Aliyev ,Tbilisi,Tbilisi,41.725563,44.780781,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
75,Batumi Pushkini,Pushkini st. N77,batumi,Batumi,41.641411,41.632847,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
76,Terjola,Tbilisi-senaki-leselidze highway 204km,Terjola,Imereti,42.164803,42.93972,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
77,Makhinjauri,Village Makhinjauri,Adjara,Adjara,41.684063,41.700691,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
78,Batumi Javakhishvili,64 Javakhishvili street ,Batumi,Batumi,41.634624,41.627037,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
79,Poti 3,Guria st. N3,Poti,Poti,42.131702,41.690788,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
82,Kachreti,"Village Kachreti, Gurjaani region en",Kachreti en,Kachreti en,41.637272,45.68132,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
94,Batumi 7,127 Airport Hwy,Batumi,Batumi,41.616791,41.61108,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
81,Rustavi  2,"Megobroba Ave. #30a, Rustavi",Rustavi,Rustavi,41.560688,44.979424,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
83,Lilo 2,"Tbilisi, village Didi Lilo",Tbilisi,Tbilisi,41.693295,44.963936,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
85,Marneuli 3,"City entrance, left road side, Marneuli ",Marneuli,Marneuli,41.505661,44.796738,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
86,Marneuli 4,"May 26 St., Marneuli",Marneuli,Marneuli,41.494179,44.802193,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
87,Borjomi,"Near Vashlovani Settlement, Borjomi",Borjomi,Borjomi,41.863964,43.410858,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Market, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
88,Gonio,"St. Andria the First-Called cross-road #19a, Gonio",Gonio,Adjara,41.567341,41.570988,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons, ATM",Sunday - Monday - 24 Hours,0322 24 04 44
89,Ortachala 4,"Ortachala, right Bank of the River Mtkvari, near the Central Bus Station",Tbilisi,Tbilisi,41.673241,44.836674,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
114,Dighomi 4,9 Aghmashenebeli Highway,Tbilisi,GE,41.764477,44.769009,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
